Skyline College,,,,Open Classes,Fall 2022,-,,,,,,8/6/2022,4:34:04,AM,
92368,BIOL,140,OLH,"Animals, People & Environment",08/17-12/17,,-,"Bookstaff, Shari Ruth",3,,2-ONLN,0,Y,,
,,,,,,,7,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
80163,BIOL,150,OLH,Intro to Marine Biology,08/17-12/17,,-,"Bookstaff, Shari Ruth",3,,2-ONLN,0,Y,,
84544,BIOL,215,AB,Organismal Biology,08/17-12/09,MWF,1205 - 1300,"Song, Michael Joon Byung",5,,2-07,7106,,,
84544,BIOL,215,AB,Organismal Biology,08/17-12/09,TR,0910 - 1140,"Song, Michael Joon Byung",5,,2-07,7241,,,
96744,BIOL,215,BC,Organismal Biology-BCS,08/17-12/09,MWF,1205 - 1300,"Song, Michael Joon Byung",5,,2-07,7106,Y,,
96744,BIOL,215,BC,Organismal Biology-BCS,08/17-12/09,TR,0910 - 1140,"Song, Michael Joon Byung",5,,2-07,7241,Y,,
97509,BIOL,230,AA,Introduction to Cell Biology,08/18-12/08,R,1330 - 1835,"Kapp, Nickolas V",5,5,2-07,7241,,,
97509,BIOL,230,AA,Introduction to Cell Biology,08/18-12/08,TR,1110 - 1225,"Kapp, Nickolas V",5,5,2-04,148,,,
97509,BIOL,230,AA,Introduction to Cell Biology,08/18-12/08,,-,"Kapp, Nickolas V",5,5,,,,,
97016,BIOL,230,BC,Intro to Cell Biology - BCS,08/18-12/08,T,1330 - 1835,"Kapp, Nickolas V",5,5,2-07,7241,Y,,
97016,BIOL,230,BC,Intro to Cell Biology - BCS,08/18-12/08,TR,1110 - 1225,"Kapp, Nickolas V",5,5,2-04,148,Y,,
97016,BIOL,230,BC,Intro to Cell Biology - BCS,08/18-12/08,,-,"Kapp, Nickolas V",5,5,,,Y,,
84828,BIOL,240,AB,General Microbiology,08/17-12/07,MW,1110 - 1230,"Staff,",4,,2-08,8302,,,
84828,BIOL,240,AB,General Microbiology,08/17-12/07,MW,1310 - 1430,"Staff,",4,,2-07,7237,,,
84828,BIOL,240,AB,General Microbiology,08/17-12/07,,-,"Staff,",4,,,,,,
80166,BIOL,240,JA,General Microbiology,08/18-12/15,TR,1515 - 1630,"Staff,",4,,2-07,7237,,,
80166,BIOL,240,JA,General Microbiology,08/18-12/15,TR,1730 - 1845,"Staff,",4,,2-07,7106,,,
80166,BIOL,240,JA,General Microbiology,08/18-12/15,,-,"Staff,",4,,,,,,
84531,BIOL,240,JB,General Microbiology,08/18-12/15,TR,1730 - 1845,"Staff,",4,,2-07,7106,,,
84531,BIOL,240,JB,General Microbiology,08/18-12/15,TR,1930 - 2045,"Staff,",4,,2-07,7237,,,
84531,BIOL,240,JB,General Microbiology,08/18-12/15,,-,"Staff,",4,,,,,,
91701,BIOL,250,AA,Human Anatomy,08/17-12/09,F,1310 - 1615,"Smiley, James Dw ight",4,,2-07,7210,,,
91701,BIOL,250,AA,Human Anatomy,08/17-12/09,W,1310 - 1615,"Smiley, James Dw ight",4,,2-07,7106,,,
97569,BIOL,250,HB,Human Anatomy,08/17-12/09,W,0910 - 1200,"Aquino, Yancy Guerrero",4,,2-07,7210,Y,,
97569,BIOL,250,HB,Human Anatomy,08/17-12/09,,-,"Aquino, Yancy Guerrero",4,,2-ONLN,0,Y,,
97574,BIOL,260,AA,Human Physiology,08/17-12/07,MW,1110 - 1230,"Singh, Daljeet",5,,2-12,130,,,
97574,BIOL,260,AA,Human Physiology,08/17-12/07,MW,1245 - 1545,"Singh, Daljeet",5,,2-07,7210,,,
97576,BIOL,260,JB,Human Physiology,08/17-12/16,F,1900 - 2200,"Kanaaneh, Jamil Mohammed 5",,,2-07,7241,,,
,,,,,,,8,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
97576,BIOL,260,JB,Human Physiology,08/17-12/16,T,1900 - 2200,"Kanaaneh, Jamil Mohammed 5",,,2-07,7210,,,
97576,BIOL,260,JB,Human Physiology,08/17-12/16,W,1900 - 2200,"Kanaaneh, Jamil Mohammed 5",,,2-12,134,,,
97572,BIOL,260,ONH,Human Physiology,08/17-12/17,,-,"Karve, Simantini Jayant",5,,2-ONLN,0,Y,,
97573,BIOL,260,OOH,Human Physiology,08/17-12/17,,-,"Karve, Simantini Jayant",5,,2-ONLN,0,Y,,
97577,BIOL,310,OMH,Nutrition,08/17-12/17,,-,"Gerrish, Heather Renee",3,,2-ONLN,0,Y,,
95772,BTEC,150,AA,Biotechnology Instrumentation,08/17-12/07,M,1310 - 1600,"Kapp, Nickolas V",4,,2-07,7204,,,
95772,BTEC,150,AA,Biotechnology Instrumentation,08/17-12/07,MW,0930 - 1050,"Kapp, Nickolas V",4,,2-07,7204,,,
95772,BTEC,150,AA,Biotechnology Instrumentation,08/17-12/07,,-,"Kapp, Nickolas V",4,,,,,,
95466,BUS.,100,CI,Intro. to Business - CIPHER,08/17-12/09,M,0935 - 1050,"McCarthy, Soledad Alejand",3,,2-08,8306,Y,Y,
95466,BUS.,100,CI,Intro. to Business - CIPHER,08/17-12/09,,-,"McCarthy, Soledad Alejand",3,,2-ONLN,0,Y,Y,
96244,BUS.,100,HA,Intro. to Business,08/17-12/09,T,0935 - 1050,"Pate, Hui X",3,,2-08,8211,Y,,
96244,BUS.,100,HA,Intro. to Business,08/17-12/09,,-,"Pate, Hui X",3,,2-ONLN,0,Y,,
80175,BUS.,100,OLH,Introduction to Business,08/17-10/15,,-,"Pate, Hui X",3,3,2-ONLN,0,Y,,
96362,BUS.,100,OSH,Introduction to Business,10/17-12/10,,-,"Pate, Hui X",3,3,2-ONLN,0,Y,,
93966,BUS.,101,HA,Human Relations,08/17-12/09,T,0935 - 1050,"McCarthy, Soledad Alejand",3,,2-08,8306,Y,,
93966,BUS.,101,HA,Human Relations,08/17-12/09,,-,"McCarthy, Soledad Alejand",3,,2-ONLN,0,Y,,
88228,BUS.,103,OLH,Intro. to Bus. Info Systems,08/17-12/17,,-,"Pate, Hui X",3,3,2-ONLN,0,Y,,
93974,BUS.,120,HA,Math Analysis for Business,08/17-12/09,W,1110 - 1225,"Beltran, Herlene Grace H",3,,2-08,8306,Y,,
93974,BUS.,120,HA,Math Analysis for Business,08/17-12/09,,-,"Beltran, Herlene Grace H",3,,2-ONLN,0,Y,,
80186,BUS.,123,HA,Statistics,08/17-12/09,R,1235 - 1350,"Beltran, Herlene Grace H",3,3,2-08,8306,Y,,
80186,BUS.,123,HA,Statistics,08/17-12/09,T,-,"Beltran, Herlene Grace H",3,3,2-ONLN,0,Y,,
94628,BUS.,150,CI,Small Bus. Management - CIPHER,08/17-12/09,M,1110 - 1225,"McCarthy, Soledad Alejand",3,,2-08,8306,Y,Y,
94628,BUS.,150,CI,Small Bus. Management - CIPHER,08/17-12/09,,-,"McCarthy, Soledad Alejand",3,,2-ONLN,0,Y,Y,
97737,BUS.,161,HS,Creativity/Innovation in Entre,10/13-12/08,TR,1110 - 1300,"McCarthy, Soledad Alejand",3,,2-08,8306,Y,,
97737,BUS.,161,HS,Creativity/Innovation in Entre,10/13-12/08,,-,"McCarthy, Soledad Alejand",3,,2-ONLN,0,Y,,
97034,BUS.,166,OLH,The Business Plan,08/17-10/15,,-,"Pate, Hui X",3,,2-ONLN,0,Y,,
96943,BUS.,188,OSH,Consumer Behavior/Interpret...,10/17-12/10,,-,"Zahar, Chirine Marie",3,,2-ONLN,0,Y,,
,,,,,,,9,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96942,BUS.,193,OLH,Digital Marketing,,08/17-10/15,-,"Canfield, Celia Catherine",3,,2-ONLN,0,Y,,
80192,BUS.,201,JA,Business Law,,08/17-12/12,M,1800 - 2105,"Shek, Stefani Diane",3,3,2-08,8306,,
93971,BUS.,401,OLH,Business Communications,,08/17-12/17,-,"Pate, Hui X",3,3,2-ONLN,0,Y,,
88205,BUS.,670,AAH,Coop,Education in Business,08/17-12/17,-,"McCarthy, Soledad Alejand",3,,2-TBA,0,,,
94997,CHEM,114,AX,Survey of Chemistry/Physics,,08/17-12/16,F,1010 - 1125,"Wamba, Kolo Diakiese",4,2-07,7338,,,
94997,CHEM,114,AX,Survey of Chemistry/Physics,,08/17-12/16,F,1135 - 1250,"Wamba, Kolo Diakiese",4,2-07,7338,,,
94997,CHEM,114,AX,Survey of Chemistry/Physics,,08/17-12/07,W,1010 - 1125,"Wamba, Kolo Diakiese",4,2-07,7338,,,
94997,CHEM,114,AX,Survey of Chemistry/Physics,,08/17-12/07,W,1135 - 1250,"Wamba, Kolo Diakiese",4,2-07,7338,,,
96683,CHEM,114,PA,Survey of Chem/Physics PROM,,08/17-12/16,F,1010 - 1125,"Wamba, Kolo Diakiese",4,2-07,7338,,,
96683,CHEM,114,PA,Survey of Chem/Physics PROM,,08/17-12/16,F,1135 - 1250,"Wamba, Kolo Diakiese",4,2-07,7338,,,
96683,CHEM,114,PA,Survey of Chem/Physics PROM,,08/17-12/07,W,1010 - 1125,"Wamba, Kolo Diakiese",4,2-07,7338,,,
96683,CHEM,114,PA,Survey of Chem/Physics PROM,,08/17-12/07,W,1135 - 1250,"Wamba, Kolo Diakiese",4,2-07,7338,,,
80195,CHEM,192,AA,Elementary Chemistry,,08/17-12/07,MW,1710 - 1830,"LeBlanc, James Freeman",4,2-07,7104,,,
80195,CHEM,192,AA,Elementary Chemistry,,08/17-12/07,W,1410 - 1700,"LeBlanc, James Freeman",4,2-07,7338,,,
95751,CHEM,210,AA,General Chemistry I,,08/17-12/07,MW,1110 - 1230,"Bates, Alec J",5,2-04,148,,,
95751,CHEM,210,AA,General Chemistry I,,08/17-12/07,MW,1325 - 1615,"Bates, Alec J",5,2-07,7333,,,
95752,CHEM,210,AB,General Chemistry I,,08/17-12/08,MW,1110 - 1230,"Bates, Alec J",5,2-04,148,,,
95752,CHEM,210,AB,General Chemistry I,,08/17-12/08,TR,1325 - 1615,"Bates, Alec J",5,2-07,7333,,,
97590,CHEM,210,AD,General Chemistry I,,08/18-12/08,TR,0910 - 1200,"Schubert, Susanne Gundula5",,2-07,7333,,,
97590,CHEM,210,AD,General Chemistry I,,08/18-12/08,TR,1245 - 1400,"Schubert, Susanne Gundula5",,2-07,7106,,,
97591,CHEM,220,AA,General Chemistry II,,08/17-12/09,MWF,0910 - 1000,"Rivera Contreras, Joaquin",5,2-07,7106,,,
97591,CHEM,220,AA,General Chemistry II,,08/17-12/09,TR,0910 - 1200,"Rivera Contreras, Joaquin",5,2-07,7341,,,
97593,CHEM,220,AB,General Chemistry II,,08/17-12/16,MW,1840 - 2140,"Rivera Contreras, Joaquin",5,2-07,7341,,,
97593,CHEM,220,AB,General Chemistry II,,08/17-12/09,MWF,0910 - 1000,"Rivera Contreras, Joaquin",5,2-07,7106,,,
97594,CHEM,234,AA,Organic Chemistry I,,08/17-12/09,MWF,1110 - 1200,"Rivera Contreras, Joaquin",3,2-07,7104,,,
97595,CHEM,235,AA,Organic Chemistry II,,08/18-12/08,TR,1110 - 1225,"Bates, Alec J",3,2-07,7104,,,
91703,CHEM,238,AA,Organic Chemistry Lab II,,08/17-12/07,W,1310 - 1830,"Rios, Andro Carmelo",2,2-07,7341,,,
,,,,,,,10,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
91704,CHEM,410,AA,Chem For Health Sciences,08/17-12/08,T,1310 - 1600,"Liu, Kei Lee Kelley",4,,2-07,7338,,,
91704,CHEM,410,AA,Chem For Health Sciences,08/17-12/08,TR,1110 - 1225,"Liu, Kei Lee Kelley",4,,2-07,7106,,,
97597,CHEM,410,JB,Chem For Health Sciences,08/18-12/15,R,1900 - 2200,"Mckay, Patrick A",4,,2-07,7338,,,
97597,CHEM,410,JB,Chem For Health Sciences,08/18-12/15,T,1900 - 2200,"Mckay, Patrick A",4,,2-07,7106,,,
93992,COMB,401.1,OLH,Self Defense I,08/17-12/17,,-,"Haddon, James N",1,1,2-ONLN,0,Y,,
93993,COMB,401.2,OLH,Self Defense II,08/17-12/17,,-,"Haddon, James N",1,1,2-ONLN,0,Y,,
97335,COMB,401.3,OLH,Self Defense III,08/17-12/17,,-,"Haddon, James N",1,1,2-ONLN,0,Y,,
85004,COMM,110,AA,Public Speaking,08/17-12/09,MWF,0910 - 1000,"Lescure, Ryan Michael",3,3,2-04,272,,,
94486,COMM,110,AC,Public Speaking,08/18-12/08,TR,1235 - 1350,"Hurless, Jessica Regan",3,,2-04,272,,,
90080,COMM,110,JA,Public Speaking,08/22-12/12,M,1800 - 2105,"McDonnell, Patrick K",3,3,2-04,272,,,
97672,COMM,127,HA,Argumentation and Debate,08/17-12/09,T,1110 - 1225,"Ayotte, Lindsey Catherine",3,,2-04,274,Y,,
97672,COMM,127,HA,Argumentation and Debate,08/17-12/09,,-,"Ayotte, Lindsey Catherine",3,,2-ONLN,0,Y,,
89185,COMM,130,AA,Interpersonal Communication,08/18-12/08,TR,0935 - 1050,"Chandler, Vincent Ray",3,3,2-04,274,,,
89186,COMM,130,AX,Interpersonal Comm,08/17-12/07,MW,1210 - 1325,"Russo, Sage Elizabeth",3,3,2-04,274,,,
96579,COMM,130,PA,Interpersonal Comm PROM,08/17-12/07,MW,1210 - 1325,"Russo, Sage Elizabeth",3,,2-04,274,,,
97724,COMM,130,PS,Interpersonal Comm PROM,10/17-12/17,,-,"Pow ell, Danielle",3,,2-ONLN,0,Y,,
93426,COMM,130,ZJH,Interpersonal Communication,08/17-12/17,W,1800 - 1930,"Pow ell, Danielle",3,,2-ONLN,0,,,
93426,COMM,130,ZJH,Interpersonal Communication,08/17-12/17,,-,"Pow ell, Danielle",3,,2-ONLN,0,,,
93069,COMM,150,AA,Intercultural Communication,08/17-12/09,MWF,1110 - 1200,"Lescure, Ryan Michael",3,,2-04,274,,,
97714,COMM,172,AA,Forensics,08/23-10/11,T,1510 - 1600,"Ayotte, Lindsey Catherine",1,,2-08,8117,,,
97714,COMM,172,AA,Forensics,10/18-12/06,T,1510 - 1700,"Ayotte, Lindsey Catherine",1,,2-08,8117,,,
97714,COMM,172,AA,Forensics,08/23-10/11,T,1610 - 1700,"Ayotte, Lindsey Catherine",1,,2-08,8117,,,
97582,COMP,122,YAH,Intro to Programming: Python,08/18-12/08,TR,1410 - 1525,"Momeni, Kayvan",3,,2-ONLN,0,,,
97583,COMP,250,AA,Intro Object-Oriented Prog:C++,08/18-12/08,TR,0935 - 1050,"Katz, Ariel R",3,,2-08,8121,,,
95776,COMP,250,EN,Object-Oriented Prog:C++ - ETS,08/18-12/08,TR,0935 - 1050,"Katz, Ariel R",3,,2-08,8121,Y,,
97584,COMP,250,YAH,Intro Object-Oriented Prog:C++,08/22-12/12,M,1910 - 2200,"Katz, Ariel R",3,,2-ONLN,0,,,
97585,COMP,252,JA,Data Structures: C++,08/23-12/13,T,1810 - 2100,"Asghary Karahroudy, Ali",3,,2-08,8121,,,
,,,,,,,11,of,38,,,,,,
,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,Based,Asst,Comm,
97586,COMP,256,AA,Computer Arch. & Assembly Lang08/18-12/08,,TR,1110 - 1225,"Katz, Ariel R",3,2-08,8121,,,
96621,COMP,256,EN,Computer Arch/AssemblyLang-ETS,08/18-12/08,TR,1110 - 1225,"Katz, Ariel R",3,2-08,8121,Y,,
97001,COMP,262,AA,Discrete Mathematics for COMP,08/18-12/15,R,1810 - 2035,"Staff,",3,2-08,8121,,,
97100,COMP,284,EN,Object-Oriented Pgm:JAVA-ETS,08/17-12/14,MW,1710 - 1825,"Hoffman, James Clarence",4,2-08,8121,Y,,
97100,COMP,284,EN,Object-Oriented Pgm:JAVA-ETS,08/17-12/14,W,1835 - 2125,"Hoffman, James Clarence",4,2-08,8121,Y,,
97587,COMP,284,JA,Intro-Object-Oriented Pgm:JAVA,08/17-12/14,MW,1710 - 1825,"Hoffman, James Clarence",4,2-08,8121,,,
97587,COMP,284,JA,Intro-Object-Oriented Pgm:JAVA,08/17-12/14,W,1835 - 2125,"Hoffman, James Clarence",4,2-08,8121,,,
97245,COMP,286,YAH,Data Structures II: Java,08/17-12/07,MW,1710 - 1830,"Katz, Ariel R",3,2-ONLN,0,,,
97392,COOP,671,FVH,General Cooperative Education,08/17-12/17,,-,"Moore, Alexa Raquel-Valle",1,3,,,,
96270,COSM,704,HA,COSM Intermediate Concepts,08/17-12/09,MT,0900 - 1505,"Hemstreet, Lynsey C",6,2-04,230,Y,,
96270,COSM,704,HA,COSM Intermediate Concepts,08/17-12/09,,-,"Hemstreet, Lynsey C",6,2-ONLN,0,Y,,
96256,COSM,705,HA,COSM Business/Salon Experience08/17-12/09,,WRF,0900 - 1510,"Cole, Shaunice Latoya",9,2-04,230,Y,,
96256,COSM,705,HA,COSM Business/Salon Experience08/17-12/09,,,-,"Cole, Shaunice Latoya",9,2-ONLN,0,Y,,
96254,COSM,706,HA,Cosmetology Advanced Concepts 08/17-12/09,,MT,0900 - 1510,"Morris, Henry",6,2-04,230,Y,,
96254,COSM,706,HA,Cosmetology Advanced Concepts 08/17-12/09,,,-,"Morris, Henry",6,2-ONLN,0,Y,,
96314,COSM,767,HS,Eyelash Enhancements,10/13-12/09,F,0900 - 1600,"Staff,",1.5,2-04,122,Y,,
96314,COSM,767,HS,Eyelash Enhancements,10/13-12/09,,-,"Staff,",1.5,2-ONLN,0,Y,,
97377,COSM,880SF,SSH,Advanced Eyelash Extensions,12/03-12/03,S,0900 - 1700,"Staff,",0.5,2-04,122,,,
97492,COSM,880SH,HA,COSM Lab Exp./Industry Explore,08/17-12/09,W,0900 - 1500,"Morris, Henry",3,2-04,230,Y,,
97492,COSM,880SH,HA,COSM Lab Exp./Industry Explore,08/17-12/09,,-,"Morris, Henry",3,2-ONLN,0,Y,,
97493,COSM,880SI,HA,COSM Lab Exp./Career Prep,08/17-12/09,R,0900 - 1500,"Morris, Henry",3,2-04,122,Y,,
97493,COSM,880SI,HA,COSM Lab Exp./Career Prep,08/17-12/09,,-,"Morris, Henry",3,2-ONLN,0,Y,,
97376,COUN,100,AK,College Success-Kababayan,08/17-12/07,MW,1245 - 1400,"Dolor, Francesca Annellie",3,2-08,8222,Y,,
90602,COUN,100,AP,College Success - Puente,08/18-12/08,TR,0935 - 1050,"Urbina, Alexandra Nicole",3,2-08,8222,Y,,
91386,COUN,100,AQ,College Success,08/17-12/07,MW,1110 - 1225,"Johnston, Adriana Mercede",3,2-08,8222,,,
97750,COUN,100,CA,College Success,08/17-12/07,MW,1240 - 1400,"Hernandez, Andrea Celina",3,2-TBA,0,,,
94607,COUN,100,CI,Coll. Success - CIPHER Hip Hop,08/18-12/08,TR,0945 - 1100,"Nevado, Nathaniel S",3,2-04,301,Y,,
,,,,,,,12,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
95821,COUN,100,ONH,College Success,08/17-12/17,,-,"Thomas, Kw ame K",3,,2-ONLN,0,Y,,
96324,COUN,100,PI,College Success-CIPHER PROMISE,08/18-12/08,TR,0945 - 1100,"Nevado, Nathaniel S",3,,2-04,301,Y,,
94615,COUN,100,PJ,College Success-PROM,10/14-12/09,MWF,1110 - 1315,"Davalos, Kimberly Annette",3,,2-ONLN,0,,,
97375,COUN,100,PK,College Success-Kaba PROM,08/17-12/07,MW,1245 - 1400,"Dolor, Francesca Annellie",3,,2-08,8222,Y,,
94330,COUN,100,PP,College Success-Puente PROMISE,08/18-12/08,TR,0935 - 1050,"Urbina, Alexandra Nicole",3,,2-08,8222,Y,,
96326,COUN,100,PY,College Success-FYE PROMISE,08/18-12/08,TR,0935 - 1050,"Honeyw ell, Courtney Loren",3,,2-08,8222,Y,,
96317,COUN,101,SAH,Prep for College-International,08/20-08/27,S,0900 - 1300,"Romero, Carlos R",0.5,0.5,2-08,8222,,,
94231,COUN,652,OSH,Honors Seminar,09/08-11/03,,-,"Lee, Joyce Wong",0.5,,2-ONLN,0,Y,,
96990,COUN,B10,OLH,Multicultural Human Relations,10/17-12/16,,-,"DeMello, Lorraine Luz Fer",3,,2-ONLN,0,Y,,
83159,CRER,137,HA,Life and Career Planning,08/17-12/09,F,1110 - 1200,"Gonzalez, Kenny Martin",3,,2-ONLN,0,Y,,
83159,CRER,137,HA,Life and Career Planning,08/17-12/09,MW,1110 - 1200,"Gonzalez, Kenny Martin",3,,2-04,301,Y,,
87423,CRER,137,PA,Life and Career Planning-PROM,08/18-12/08,R,0935 - 1050,"Lucas, Mandy Nicole Raque",3,,2-ONLN,0,Y,,
87423,CRER,137,PA,Life and Career Planning-PROM,08/18-12/08,T,0935 - 1050,"Lucas, Mandy Nicole Raque",3,,2-TBA,0,Y,,
80236,CRER,137,YBH,Life and Career Planning,08/18-12/08,TR,0810 - 0925,"Chan, Ryan",3,,2-ONLN,0,,,
97047,DANC,100,ORH,Dance Appreciation,08/17-12/17,,-,"Keyes, Abigail Raymer",3,,2-ONLN,0,Y,,
96893,DANC,102,OLH,Hip Hop Dance Roots,08/17-12/17,,-,"Steele, Amber N",3,,2-ONLN,0,Y,,
97680,DANC,117.1,JX,Tap Dance I,08/17-12/14,MW,1645 - 1800,"Ferguson, Gary D",1,1,2-03,3201,,,
97681,DANC,117.2,JX,Tap Dance II,08/17-12/14,MW,1645 - 1800,"Ferguson, Gary D",1,1,2-03,3201,,,
94871,DANC,130.1,AX,Jazz Dance I,08/17-12/07,MW,1210 - 1325,"Steele, Amber N",1,1,2-03,3201,,,
94872,DANC,130.2,AX,Jazz Dance II,08/17-12/07,MW,1210 - 1325,"Steele, Amber N",1,1,2-03,3201,,,
94873,DANC,130.3,AX,Jazz Dance III,08/17-12/07,MW,1210 - 1325,"Steele, Amber N",1,1,2-03,3201,,,
94015,DANC,140.1,BX,Ballet I,08/18-12/08,TR,1110 - 1225,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94016,DANC,140.2,BX,Ballet II,08/18-12/08,TR,1110 - 1225,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94017,DANC,140.3,BX,Ballet III,08/18-12/08,TR,1110 - 1225,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94018,DANC,140.4,BX,Ballet IV,08/18-12/08,TR,1110 - 1225,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94022,DANC,152.1,JX,Cuban Salsa I,08/22-12/12,M,1810 - 2100,"Delmar, Kenneth",1,1,2-03,3201,,,
94023,DANC,152.2,JX,Cuban Salsa II,08/22-12/12,M,1810 - 2100,"Delmar, Kenneth",1,1,2-03,3201,,,
,,,,,,,13,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
94024,DANC,152.3,JX,Cuban Salsa III,08/22-12/12,M,1810 - 2100,"Delmar, Kenneth",1,1,2-03,3201,,,
97674,DANC,157.1,JX,Afro Cuban Dance I,08/17-12/14,W,1810 - 2100,"Delmar, Kenneth",1,1,2-03,3201,,,
97675,DANC,157.2,JX,Afro Cuban Dance II,08/17-12/14,W,1810 - 2100,"Delmar, Kenneth",1,1,2-03,3201,,,
97676,DANC,157.3,JX,Afro Cuban Dance III,08/17-12/14,W,1810 - 2100,"Delmar, Kenneth",1,1,2-03,3201,,,
94027,DANC,350.1,OLH,Cardio Dance I,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94028,DANC,350.2,OLH,Cardio Dance II,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94029,DANC,350.3,OLH,Cardio Dance III,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
95442,DMAD,431,OXH,Digital Imagining I: Photoshop,08/17-12/17,,-,"Sanchez, Samuel T",3,,2-ONLN,0,Y,,
95445,DMAD,432,OXH,Digital Imaging II: Adv. PS,08/17-12/17,,-,"Sanchez, Samuel T",3,,2-ONLN,0,Y,,
97606,DMAD,475,AA,Digital Filmmaking I,08/18-12/08,TR,1500 - 1550,"Sanchez, Samuel T",3,,2-01,1202,,,
97606,DMAD,475,AA,Digital Filmmaking I,08/18-12/08,TR,1600 - 1715,"Sanchez, Samuel T",3,,2-01,1202,,,
96560,DMAD,500,OSH,User Experience Design I,08/17-10/15,,-,"Shieh, Eddie Yun",3,,2-ONLN,0,Y,,
96561,DMAD,501,OSH,User Experience Design II,08/17-10/15,,-,"Aurelio, Michael P",3,,2-ONLN,0,Y,,
96989,DMAD,502,OSH,User Experience Design III,10/17-12/17,,-,"Shieh, Eddie Yun",3,,2-ONLN,0,Y,,
96991,DMAD,503,OSH,User Experience Design IV,10/17-12/17,,-,"Aurelio, Michael P",3,,2-ONLN,0,Y,,
94147,DRAM,200,AX,Theory of Acting,08/17-12/07,MW,1335 - 1450,"Simmers, Kevin Ralph",3,3,2-03,3201,,,
94575,DRAM,201,AX,Advanced Acting I,08/17-12/07,MW,1335 - 1450,"Simmers, Kevin Ralph",3,,2-03,3201,,,
94680,DRAM,202,AX,Advanced Acting II,08/17-12/07,MW,1335 - 1450,"Simmers, Kevin Ralph",3,,2-03,3201,,,
92870,ECE.,201,OLH,Child Development,08/17-12/17,,-,"Adams, James Steven",3,,2-ONLN,0,Y,,
86771,ECE.,201,OMH,Child Development,08/17-12/17,,-,"Adams, James Steven",3,3,2-ONLN,0,Y,,
86767,ECE.,201,ORH,Child Development,08/17-12/17,,-,"Adams, James Steven",3,3,2-ONLN,0,Y,,
95023,ECE.,210,HS,ECE Principles,08/22-10/10,M,1800 - 2105,"Brow ne, Kathryn W",3,,2-14,6,Y,,
95023,ECE.,210,HS,ECE Principles,08/17-10/15,,-,"Brow ne, Kathryn W",3,,2-ONLN,0,Y,,
95143,ECE.,210,QBH,Early Child Ed Principles,09/02-09/09,F,1110 - 1240,"Francisco, Elaine Tan",3,,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,08/22-08/26,MF,1110 - 1240,"Francisco, Elaine Tan",3,,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,10/03-10/07,MF,1110 - 1240,"Francisco, Elaine Tan",3,,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,10/24-11/03,MF,1110 - 1240,"Francisco, Elaine Tan",3,,2-OCEN,0,,,
,,,,,,,14,of,38,,,,,,
,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,Based,Asst,Comm,
95143,ECE.,210,QBH,Early Child Ed Principles,09/23-09/29,MRF,1110 - 1240,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,09/13-09/19,MTR,1110 - 1240,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,08/09-08/09,T,1043 - 1133,"Francisco, Elaine Tan",3,2-OCEN,0,,,
